sekolah,Jakarta Timur,Jakarta Utara,Jakarta Barat,Jakarta Selatan,Jakarta Pusat,Kepulauan Seribu,lintang,bujur,alamat_jalan
SMAN 1 JAKARTA,14.6,8.9,10.8,15.3,4.2,,-61.672.000,1.068.373.000,JL. BUDI UTOMO NO. 7
SMAN 10 JAKARTA,18.4,11,11.4,16.4,6,,-61.462.000,1.068.264.000,JL. MANGGA BESAR XIII
SMAN 100 JAKARTA,2.7,10.4,22.5,14.3,11.6,,-62.294.000,1.068.826.000,JL. PERSATUAN 2
SMAN 101 JAKARTA,28.3,37.5,11.2,18.9,17.6,,-62.180.000,1.067.199.000,JL. KOMPLEK JOGLO BARU
SMAN 102 JAKARTA,11.9,12.8,39.1,33.2,17.9,,-61.671.000,1.069.506.000,JL. KAYU TINGGI,CAKUNG JAKARTA TIMUR
SMAN 103 JAKARTA,5.6,16.9,35.4,32.1,18.1,,-62.209.000,1.069.373.000,JL. MAWAR MERAH VI PERUMNAS KLENDER
SMAN 104 JAKARTA,15,20.5,28.9,10.8,17.7,,-62.991.000,1.068.622.000,JL. H. TAIMAN BARAT KEL.GEDONG,JAKARTA TIMUR
SMAN 105 JAKARTA,19,24.5,32.7,15.7,22.7,,-63.316.000,1.068.837.000,Jln. Usman Kelapa Dua Wetan
SMAN 106 JAKARTA,21,27,35.2,16.4,26.4,,-63.148.000,1.068.748.000,JL. GANDARIA I PEKAYON PASAR REBO JAKARTA TIMUR
SMAN 107 JAKARTA,5.5,11,31.2,25,16.4,,-62.059.000,1.069.253.000,JL. RAWA BADUNG TIMUR CAKUNG
SMAN 108 JAKARTA,26.6,32.5,12.6,10.6,15.3,,-62.527.000,1.067.619.000,Jl. Kesadaran, Ulujami Raya
SMAN 109 JAKARTA,23.5,29.1,31,13.6,25.5,,-63.450.000,1.068.356.000,JL. GARDU NO. 31
SMAN 11 JAKARTA,7.4,13.2,37.3,34,17.2,,-62.057.000,1.069.403.000,JL. P KOMARUDIN 1 PANDIDIKAN PULO GEBANG CAKUNG JAKARTA TIMUR
SMAN 110 JAKARTA,19.7,8.9,23.5,37.7,13.5,,-61.337.000,1.069.050.000,JL. BENDUNGAN MELAYU NO 80
SMAN 111 JAKARTA,27.3,16.4,6.7,18.2,10.3,,-61.359.000,1.068.017.000,JL. BANDENGAN UTARA 80
SMAN 112 JAKARTA,24,19.3,4.7,14.6,10,,-61.911.000,1.067.565.000,JL. SANGGRAHAN
SMAN 113 JAKARTA,15.7,21.1,29.2,18.4,20.4,,-62.929.000,1.069.030.000,JL. ALBAIDHO I/MONUMEN LUBANG BUAYA JAKARTA TIMUR
SMAN 114 JAKARTA,22,12,26.6,38.8,19.7,,-61.097.000,1.069.356.000,JL. PEDONGKELAN NO 25
SMAN 115 JAKARTA,15,15.7,43.1,39.8,20.8,,-61.511.000,1.069.569.000,JL. ROROTAN X
SMAN 12 JAKARTA,1.8,11.6,26.3,26.3,13.2,,-62.147.000,1.068.978.000,JL. PERTANIAN KLENDER
SMAN 13 JAKARTA,16.8,6,20.6,34.8,13.1,,-61.191.000,1.068.946.000,JL. SEROJA NO.1 TANJUNG PRIOK
SMAN 14 JAKARTA,8.3,13.8,20.5,19.3,14.8,,-62.563.000,1.068.678.000,JL. SMA BARAT CILILITAN
SMAN 15 JAKARTA,17.4,7.1,16.9,28.4,12.7,,-61.378.000,1.068.617.000,JL. AGUNG UTARA STS BLOK A
SMAN 16 JAKARTA,15.5,25.5,7.4,10.2,7.4,,-61.933.000,1.067.862.000,JL. BELIBIS TERUSAN NO. 16
SMAN 17 JAKARTA,16.6,12.3,9.8,15.8,5.6,,-61.525.000,1.068.240.000,JL. Mangga Besar IV/I No.27
SMAN 18 JAKARTA,18,8.3,22.9,28.5,14.3,,-61.220.000,1.068.723.000,JL. WARAKAS 1 TANJUNG PRIOK
SMAN 19 JAKARTA,25,15,7,17.5,6.3,,-61.445.000,1.068.221.000,JL. PERNIAGAAN NO. 31
SMAN 2 JAKARTA,18.3,11.6,9.5,15.3,4.8,,-61.485.000,1.068.161.000,JL. GAJAH MADA NO. 175
SMAN 20 JAKARTA,16.2,10.8,11.1,15.3,4.8,,-61.593.000,1.068.324.000,JL. KREKOT BUNDER III/I
SMAN 21 JAKARTA,7,5.8,26,19.7,10.7,,-61.853.000,1.068.875.000,JL. TANAH MAS RAYA NO.1
SMAN 22 JAKARTA,7,7.2,24.8,16.6,7.8,,-62.026.000,1.068.694.000,JL. Kramat Asem, Kec. Matraman, Jakarta Timur 13120
SMAN 23 JAKARTA,20,14.2,6.8,12.8,6.3,,-61.718.000,1.067.994.000,JL. MANDALA UTARA NO.6
SMAN 24 JAKARTA,17,22.7,8.5,7.8,4.2,,-62.108.000,1.067.965.000,JL. LAPANGAN TEMBAK NO. 1 SENAYAN
SMAN 25 JAKARTA,16.4,11.8,7.6,14.4,4.7,,-61.674.000,1.068.139.000,JL. AM. SANGAJI NO. 22-24
SMAN 26 JAKARTA,7.3,13.8,21.2,9,10.8,,-62.334.000,1.068.485.000,JL. TEBET BARAT IV
SMAN 27 JAKARTA,10.4,6.1,26.4,20.1,5.5,,-61.820.000,1.068.612.000,JL. MARDANI RAYA JAKARTA
SMAN 28 JAKARTA,15.3,20.9,25.6,5.6,14.7,,-62.858.000,1.068.332.000,Jl. Ragunan, Pasar Minggu, Jakarta Selatan
SMAN 29 JAKARTA,18.3,26.8,9.7,7.2,13.6,,-62.372.000,1.067.840.000,Jl. Kramat No.6
SMAN 3 JAKARTA,11.7,13,19.5,9.6,5.2,,-62.098.000,1.068.258.000,SETIABUDI II
SMAN 30 JAKARTA,8,5.2,25.4,17.9,9.2,,-61.869.000,1.068.749.000,JL. JEND. A. YANI
SMAN 31 JAKARTA,7.5,9,28.6,17.2,6.3,,-62.026.000,1.068.645.000,JL. KAYUMANIS TIMUR NO. 17
SMAN 32 JAKARTA,19.6,28.5,8.7,7.9,13.3,,-62.322.000,1.067.744.000,JL. PANJANG KOMP.SETNEG BARU CIDODOL
SMAN 33 JAKARTA,30,27,6.6,25.4,15.2,,-61.493.000,1.067.274.000,JL. UTAMA I NO.2 CENGKARENG
SMAN 34 JAKARTA,24,47.9,27,7.4,20.1,,-63.134.000,1.067.949.000,Jl. Margasatwa Raya No. 1
SMAN 35 JAKARTA,11.6,22.4,15.1,8.6,7.3,,-62.093.000,1.068.142.000,JL. MUTIARA
SMAN 36 JAKARTA,4.2,7.9,29.4,19.3,12.6,,-61.990.000,1.068.991.000,JL. PERHUBUNGAN RAYA RAWAMANGUN
SMAN 37 JAKARTA,6.6,13.1,19,10.7,8.6,,-62.346.000,1.068.587.000,JL. H. KEBON BARU
SMAN 38 JAKARTA,19.4,27.8,29.8,12.4,22.7,,-63.360.000,1.068.360.000,JL. RAYA LENTENG AGUNG
SMAN 39 JAKARTA,17.3,23.6,31.8,12.7,23.2,,-63.209.000,1.068.501.000,JL. RA FADILAH CIJANTUNG
SMAN 4 JAKARTA,13.6,9.5,11.4,13.6,2,,-61.788.000,1.068.356.000,JL. BATU NO. 3 GAMBIR
SMAN 40 JAKARTA,19.6,9.9,13,30.5,8.4,,-61.312.000,1.068.311.000,JL. BUDIMULYA RAYA
SMAN 41 JAKARTA,17,7.7,17.5,22.1,9.5,,-61.304.000,1.068.525.000,JL. LAKS. RE MARTADINATA
SMAN 42 JAKARTA,8.7,14.7,26.8,23.7,14,,-62.559.000,1.068.912.000,JL. RAJAWALI HALIM PERDANA KUSUMA JAKARTA TIMUR
SMAN 43 JAKARTA,8.8,10.6,22.6,11.2,4.9,,-62.171.000,1.068.410.000,JL. MINANGKABAU DALAM
SMAN 44 JAKARTA,3.8,12.8,19.2,21.7,16.9,,-62.222.000,1.069.292.000,JL. DELIMA IV PERUMNAS KLENDER
SMAN 45 JAKARTA,6.5,6.1,20,23.5,11.3,,-61.746.000,1.069.056.000,JL. PERINTIS KEMERDEKAAN
SMAN 46 JAKARTA,17,23.2,12.3,2.8,12.8,,-62.579.000,1.067.948.000,JL. MASJID DARUSSALAM
SMAN 47 JAKARTA,22,30.8,10.2,6.8,14.1,,-62.471.000,1.067.731.000,Jalan Delman Utama I RT.001/011
SMAN 48 JAKARTA,13.6,17.3,25.5,15.6,16.9,,-62.877.000,1.068.831.000,JL. PINANG RANTI II TMII
SMAN 49 JAKARTA,21.2,29.7,27.5,10.3,21.3,,-63.237.000,1.068.192.000,JL. PEPAYA NO. 9
SMAN 5 JAKARTA,13,4.3,18.5,22.5,8,,-61.589.000,1.068.667.000,JL. RAYA SUMUR BATU
SMAN 50 JAKARTA,1.2,12.5,30.4,18.3,13.3,,-62.195.000,1.068.958.000,JL. PLN. CIPINANG MUARA III
SMAN 51 JAKARTA,10.5,16,26.3,13.2,14.1,,-62.767.000,1.068.614.000,JL. BATU AMPAR 3 CONDET
SMAN 52 JAKARTA,20,11,25.6,31.6,15.7,,-61.223.000,1.069.239.000,JL. RAYA TUGU SEMPER
SMAN 53 JAKARTA,2.6,11,27.7,15.1,12.9,,-62.207.000,1.068.832.000,JL. CIPINANG JAYA II B
SMAN 54 JAKARTA,5,10.1,27.4,16,8.7,,-62.214.000,1.068.705.000,KOMPLEK PENDIDIKAN RAWA BUNGA JLNJATI NEGARA TIMUR IV JAKARTA TIMUR
SMAN 55 JAKARTA,11.4,18.1,21.5,5.9,11.6,,-62.554.000,1.068.391.000,JL. MINYAK RAYA DUREN TIGA
SMAN 56 JAKARTA,36,26.4,10.2,27.8,20,,-61.199.000,1.067.200.000,JL. RAYA KAMAL
SMAN 57 JAKARTA,26,23.8,1.2,15.6,11.2,,-61.747.000,1.067.561.000,JL. RAYA KEDOYA
SMAN 58 JAKARTA,20,25.5,36.5,14.8,21.5,,-63.282.000,1.068.775.000,JL. RAYA CIRACAS NO. 2
SMAN 59 JAKARTA,1.6,12.9,30.8,18.1,14.5,,-62.161.000,1.069.076.000,BULAK TIMUR I/10-11
SMAN 6 JAKARTA,15.7,24.3,10.4,4.2,10.1,,-62.429.000,1.067.975.000,Jl. Mahakam I Blok C No. 2
SMAN 60 JAKARTA,12.7,20.6,19.9,4.1,12.4,,-62.589.000,1.068.250.000,JL. KEMANG TIMUR I NO. 6
SMAN 61 JAKARTA,2.1,12.9,30.7,15.4,15.8,,-62.386.000,1.068.963.000,JL.TARUNA PAHLAWAN REVOLUSI PONDOK BAMBU JAKARTA TIMUR
SMAN 62 JAKARTA,11,19.6,31,14.4,18,,-62.851.000,1.068.726.000,JL. RAYA BOGOR KM.20
SMAN 63 JAKARTA,27.4,38,10.3,12.5,15.9,,-62.287.000,1.067.490.000,JL. AMD V MANUNGGAL V/57
SMAN 64 JAKARTA,18.3,24.9,32,16.5,22.5,,-63.310.000,1.068.906.000,JL. RAYA CIPAYUNG
SMAN 65 JAKARTA,23,19.1,4.3,11.2,9.8,,-62.007.000,1.067.687.000,Jalan Raya Panjang
SMAN 66 JAKARTA,26.4,47.7,30.8,6.7,21.9,,-63.066.000,1.068.050.000,JL. BANGO III
SMAN 67 JAKARTA,11.8,17.3,27.6,17.2,19.9,,-62.760.000,1.068.871.000,JL. SQUADRON
SMAN 68 JAKARTA,9.2,8.3,14.8,14.2,5.2,,-61.979.000,1.068.509.000,JL. SALEMBA RAYA 18
SMAN 69 JAKARTA,,,,,,,-57.477.000,1.066.137.000,PULAU PRAMUKA RT 003/05
SMAN 7 JAKARTA,24.6,22,14.6,8.3,7,,-62.109.000,1.068.147.000,JL. KARET PS. BARU BARAT V
SMAN 70 JAKARTA,13.7,23.5,10.1,4.6,10.5,,-62.417.000,1.067.970.000,JL. BULUNGAN BLOK C / 1
SMAN 71 JAKARTA,3.3,15,30.2,18.8,14.6,,-62.353.000,1.069.187.000,JL. H. DOGOL
SMAN 72 JAKARTA,12,1.6,23.9,21.6,9.9,,-61.635.000,1.068.846.000,JL. PRIHATIN KOMP TNI AL
SMAN 73 JAKARTA,20.5,10.3,24.9,30.8,18.8,,-61.115.000,1.069.244.000,JL. RAYA CAKUNG CILINCING
SMAN 74 JAKARTA,23,29.3,11.9,5.4,12.5,,-62.529.860,1.067.863.930,Jl. Dharma Putra XI
SMAN 75 JAKARTA,14.1,11.1,25.7,31.6,15.7,,-61.347.000,1.069.240.000,JL. TIPAR CAKUNG
SMAN 76 JAKARTA,9.3,10.2,37.4,31.4,16,,-61.722.000,1.069.314.000,JL. TIPAR CAKUNG JAKARTA TIMUR
SMAN 77 JAKARTA,10.3,4.8,25,19.5,5.9,,-61.753.000,1.068.662.000,JL. CEMPAKA PUTIH TENGAH 17
SMAN 78 JAKARTA,20,16.5,5.9,12.5,7,,-61.914.000,1.067.828.000,JL. BHAKTI IV/1 KOMP. PAJAK
SMAN 79 JAKARTA,8.7,11.8,22.5,9.4,6.7,,-62.222.000,1.068.380.000,JL. MENTENG PULO UJUNG
SMAN 8 JAKARTA,6.4,11.4,21,12.8,6.6,,-62.330.000,1.068.552.000,JL. TAMAN BUKIT DURI
SMAN 80 JAKARTA,15.3,4.9,19,25.7,10.4,,-61.423.000,1.068.715.000,JL. SUNTER KARYA SELATAN V
SMAN 81 JAKARTA,5.7,16.5,26.3,18,16.8,,-62.511.000,1.069.179.000,JL. KARTIKA EKAPAKSI KPAD JATIWARINGI KALIMALANG JAKARTA TIMUR
SMAN 82 JAKARTA,13.9,22.2,13.6,4.8,9.1,,-62.312.000,1.067.996.000,JL. DAHA II / 15A
SMAN 83 JAKARTA,11.7,7.9,26.1,30.5,16.3,,-61.561.000,1.069.274.000,JL. TIPAR CAKUNG
SMAN 84 JAKARTA,31.7,30,8.8,24.1,18.6,,-61.449.000,1.067.044.000,JL. PETA BARAT NO. 42
SMAN 85 JAKARTA,22,21.5,7,12.2,12.6,,-62.154.000,1.067.591.000,JL. SRENGSENG RAYA
SMAN 86 JAKARTA,26.4,37.8,17.3,10.2,16.1,,-62.622.000,1.067.613.000,Jl. Bintaro Permai IV No. 36
SMAN 87 JAKARTA,28.3,33.9,17.3,9.4,18.3,,-62.864.000,1.067.612.000,JL Mawar II
SMAN 88 JAKARTA,18.6,25,33.2,14.2,24.3,,-63.278.000,1.068.470.000,JL. SAWO
SMAN 89 JAKARTA,10.8,11.8,38.1,32.1,17.1,,-61.752.000,1.069.515.000,JL. KAYU TINGGI
SMAN 9 JAKARTA,9.3,14.9,22.5,14.2,14.4,,-62.587.000,1.068.815.000,JL. SMU 9 HALIM PERDANA KUSUMA,JAKARTA TIMUR
SMAN 90 JAKARTA,33.6,37.9,12.8,12,16.3,,-62.435.000,1.067.481.000,Jl. Sabar Petukangan`
SMAN 91 JAKARTA,6,18.6,28.1,19.8,17.8,,-62.389.000,1.069.328.000,JL.LEMBAH LONTAR
SMAN 92 JAKARTA,19.5,13,27.6,36.1,17.4,,-61.303.000,1.069.284.000,KOMP. PEMADAM KEBAKARAN
SMAN 93 JAKARTA,13.3,18.9,27,13,18.9,,-62.918.000,1.068.692.000,JL. RAYA BOGOR KOMP. PASWALPRES
SMAN 94 JAKARTA,32.2,25.7,9,26.1,20.3,,-61.639.000,1.066.898.000,JL. RAYA SEMANAN
SMAN 95 JAKARTA,41.6,32.1,11.7,26.9,15.6,,-61.263.000,1.067.039.000,JL. SATU MARET NO. 49
SMAN 96 JAKARTA,29.6,26.6,6.5,22,16,,-61.470.000,1.067.396.000,JL. JATI RAYA NO. 40
SMAN 97 JAKARTA,29.7,33.2,28.4,10.9,22.7,,-63.422.000,1.068.010.000,JL. BRIGIF 2 CIGANJUR
SMAN 98 JAKARTA,20,25,36.8,14.8,24.3,,-63.324.000,1.068.573.000,JL.JAHA NO. 1
SMAN 99 JAKARTA,21.7,27.3,43.1,16.6,26.3,,-63.425.000,1.068.729.000,JL.Cibubur II
SMAN RAGUNAN JAKARTA,22,27.4,28.2,10.9,19.4,,-63.054.000,1.068.269.000,JL. KOMPLEK GOR RAGUNAN
SMAN UNGGULAN M.H. THAMRIN,16,21.5,29.6,15.8,23.4,,-63.159.000,1.069.019.000,JL BAMBU WULUNG
